State,Year,Drug Related Deaths,"Rate per 100,000"
Idaho,2000,167,12.906187473579026
Idaho,2001,219,16.59138672173896
Idaho,2002,235,17.5324462164235
Idaho,2003,250,18.336780648095175
Idaho,2004,232,16.669037693579977
Idaho,2005,243,17.013935323240265
Idaho,2006,271,18.45208144244891
Idaho,2007,270,17.938947781051823
Idaho,2008,309,20.139214766150477
Idaho,2009,348,22.387497997669897
Idaho,2010,332,21.179115350903494
Idaho,2011,368,23.2178853427635
Idaho,2012,389,24.37758816038824
Idaho,2013,432,26.796746676459062
Idaho,2014,443,27.103686590833444
Idaho,2015,457,27.614461034605693
Idaho,2016,475,28.22106301317775
Idaho,2017,475,27.66544958102861
Illinois,1999,1507,12.193523434705988
Illinois,2000,1462,11.772006667368263
Illinois,2001,1558,12.475532382134045
Illinois,2002,1603,12.797835082131284
Illinois,2003,1427,11.365078990882928
Illinois,2004,1667,13.240905932140318
Illinois,2005,1704,13.5131888008972
Illinois,2006,2027,16.031376258457104
Illinois,2007,1861,14.65831476167124
Illinois,2008,2119,16.623469703314605
Illinois,2009,2164,16.910506691606276
Illinois,2010,2034,15.852687537137687
Illinois,2011,2228,17.312576786678516
Illinois,2012,2444,18.98214831473241
Illinois,2013,2420,18.78570594082425
Illinois,2014,2625,20.379517071436222
Illinois,2015,2818,21.912916762409317
Illinois,2016,3568,27.871648869717927
Illinois,2017,3928,30.682650702939682
Indiana,1999,551,9.115017794135916
Indiana,2000,631,10.377461666298002
Indiana,2001,649,10.591145867331619
Indiana,2002,663,10.770038240945736
Indiana,2003,821,13.249119925998581
Indiana,2004,929,14.9045236111559
Indiana,2005,983,15.656316614999229
Indiana,2006,1096,17.307078579347824
Indiana,2007,1139,17.85378673487158
Indiana,2008,1241,19.315758327955738
Indiana,2009,1307,20.234312408804325
Indiana,2010,1398,21.561423374742166
Indiana,2011,1500,23.017000970703656
Indiana,2012,1554,23.77115808982683
Indiana,2013,1652,25.141145005662846
Indiana,2014,1825,27.66469779917855
Indiana,2015,1997,30.167621395596164
Indiana,2016,2277,34.32808391550618
Indiana,2017,2645,39.674099397943664
Iowa,1999,197,6.752046349884872
Iowa,2000,206,7.03954859407229
Iowa,2001,244,8.321973044310754
Iowa,2002,257,8.758674325224233
Iowa,2003,265,9.007480967872525
Iowa,2004,286,9.682983848715228
Iowa,2005,335,11.300563274046418
Iowa,2006,377,12.639792077096697
Iowa,2007,415,13.836967843553573
Iowa,2008,414,13.723450592594507
Iowa,2009,437,14.40879431033971
Iowa,2010,486,15.953491960063749
Iowa,2011,521,17.01330597271536
Iowa,2012,533,17.337922949359605
Iowa,2013,597,19.31778763765137
Iowa,2014,623,20.05068349336332
Iowa,2015,675,21.607612794139634
Iowa,2016,717,22.873053278263615
Iowa,2017,759,24.128090597006526
Kansas,1999,223,8.326058921614823
Kansas,2000,225,8.369234248543195
Kansas,2001,296,10.9541914955506
Kansas,2002,355,13.082565730679724
Kansas,2003,356,13.073796439520471
Kansas,2004,395,14.445724851730178
Kansas,2005,454,16.537360775638646
Kansas,2006,473,17.11950099369112
Kansas,2007,504,18.104846459047664
Kansas,2008,446,15.882761007892949
Kansas,2009,543,19.16896364745487
Kansas,2010,489,17.139143912028874
Kansas,2011,546,19.016187442489965
Kansas,2012,566,19.61256520918048
Kansas,2013,566,19.557996196902717
Kansas,2014,612,21.074227769014065
Kansas,2015,627,21.53424821260588
Kansas,2016,621,21.360105582898708
Kansas,2017,672,23.068026993710873
Kentucky,1999,445,11.07501568545761
Kentucky,2000,520,12.865653628398851
Kentucky,2001,627,15.412479241086572
Kentucky,2002,678,16.57752376295119
Kentucky,2003,819,19.892304665583396
Kentucky,2004,797,19.22287951981874
Kentucky,2005,908,21.708247843161256
Kentucky,2006,992,23.511348847505438
Kentucky,2007,1005,23.6099939107359
Kentucky,2008,1016,23.68365720423751
Kentucky,2009,1086,25.155927371177796
Kentucky,2010,1338,30.83399030319399
Kentucky,2011,1391,31.835355141581502
